Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Al2O3,Al2O3,10,2.4,14.8,20.392,2.708,1.0530729,0,10.5651372,28.60408,1.648,0.88,406.0052,1170.9728,0.9096,27.3068,1.9374,4.4132,118.36654,0.94816044
Al2S3,Al2S3,14.8,3,14.8,30.034,2.192,1.422672,0,8.6103132,21.534148,1.816,1.12,606.4052,1547.516,0.7836,23.3,2.256,5.318,122.32,0.949614
Al2Se3,Al2Se3,25.6,3.6,14.8,58.168,2.174,1.3884,0,8.2457412,20.24542,1.876,1.204,669.7592,1691.75,0.5514,24.8978,3.9714,7.52,132.112,0.96024
Al2Te3,Al2Te3,36.4,4.2,14.8,87.352,1.904,1.35888,0,7.8000672,18.69142,1.972,1.318,806.9852,1873.55,0.48,25.118,4.824,14.78,146.698,0.9621
AlAs,AlAs,23,3.5,14,50.95,1.895,0.6255,0,7.887184,18.708875,1.845,1.22,1011.8115,1840.65,0.613,24.42,4.2135,19.2,161.6,1.436
AlBr3,AlBr3,29.5,3.75,16,66.67,2.6225,2.634,0,10.356792,20.9003875,1.8475,1.1875,432.83075,947,0.57975,62.8175,3.015,7.025,83.74375,0.593415
AlCl3,AlCl3,16,3,16,33.3325,2.7725,2.823,0,11.2221645,22.5673375,1.7725,1.06,362.10575,877.37,0.5835,31.51175,3.0855,5.075,80.35,0.59256675
AlF3,AlF3,10,2.25,16,20.995,3.3875,2.6595,0,14.563542,30.9352375,1.5625,0.76,273.47825,761.8175,0.84225,29.528,1.947,2.87,75.15235,0.59270925
AlI3,AlI3,43,4.5,16,101.92,2.3975,2.404575,0,9.334887,19.0556125,1.945,1.33,523.50575,1041.2,0.38475,46.8725,4.38,8.495,88.375,0.5958675
AlN,AlN,10,2.5,14,20.495,2.325,0.1855,0,10.259934,24.214925,1.695,0.975,498.3115,1434.7525,0.9685,26.662,1.9755,5.53,146.7964,1.1851299
AlP,AlP,14,3,14,28.975,1.9,0.59375,0,8.236229,19.299025,1.82,1.165,625.3865,1672.9,0.833,24.012,2.2615,5.67,151.6,1.186175
AlSb,AlSb,32,4,14,74.39,1.83,0.7555,0,7.297079,17.729275,1.95,1.32,918.6255,2326.15,0.552,24.715,4.6985,15.2,179.385,1.3065
As2Ba3,Ba3As2,46.8,5.2,7.2,112.348,1.406,0.324,0,7.0424384,13.437978,2.348,1.716,1036.15,1626.55,0.254,26.698,4.3968,15.88,97.08,0.3112
Ba3N2,Ba3N2,36.4,4.4,7.2,87.984,1.75,-0.028,0,8.9406384,17.842818,2.228,1.52,625.35,1301.832,0.5384,28.4916,2.6064,4.944,85.23712,0.11050392
Ba3P2,Ba3P2,39.6,4.8,7.2,94.768,1.41,0.2986,0,7.3216744,13.910098,2.328,1.672,727.01,1492.35,0.43,26.3716,2.8352,5.056,89.08,0.11134
Ba3Sb2,Ba3Sb2,54,5.6,7.2,131.1,1.354,0.428,0,6.5703544,12.654298,2.432,1.796,961.6012,2014.95,0.2052,26.934,4.7848,12.68,111.308,0.2076
Al2BaO4,BaAl2O4,16.28571429,2.857142857,13.14285714,36.46571429,2.552857143,0.960926571,0,10.23648571,26.87790429,1.777142857,1.014285714,440.648,1151.886,0.81,27.71171429,2.089428571,4.326857143,105.0633714,0.703581371
Al2BaS4,BaAl2S4,20.85714286,3.428571429,13.14285714,45.64857143,2.061428571,1.312925714,0,8.374748571,20.14463571,1.937142857,1.242857143,631.5051429,1510.498571,0.69,23.89571429,2.392857143,5.188571429,108.8285714,0.704965714
Al2BaSe4,BaAl2Se4,31.14285714,4,13.14285714,72.44285714,2.044285714,1.280285714,0,8.027537143,18.91727571,1.994285714,1.322857143,691.8422857,1647.864286,0.468857143,25.41742857,4.026571429,7.285714286,118.1542857,0.715085714
Al2BaTe4,BaAl2Te4,41.42857143,4.571428571,13.14285714,100.2371429,1.787142857,1.252171429,0,7.603085714,17.43727571,2.085714286,1.431428571,822.5337143,1821.007143,0.400857143,25.62714286,4.838571429,14.2,132.0457143,0.716857143
BaBr2,BaBr2,42,4.666666667,12,99.03333333,2.27,2.243333333,0,9.613088,17.72861,2.126666667,1.466666667,510.6833333,927.35,0.384,59.81666667,3.25,6.533333333,56.55,0.062146667
BaCl2,BaCl2,30,4,12,69.4,2.403333333,2.411333333,0,10.382308,19.21034333,2.06,1.353333333,447.8166667,865.4566667,0.387333333,31.98933333,3.312666667,4.8,53.53333333,0.061392667
BaF2,BaF2,24.66666667,3.333333333,12,58.43333333,2.95,2.266,0,13.35242133,26.64847667,1.873333333,1.086666667,369.0366667,762.7433333,0.617333333,30.226,2.300666667,2.84,48.9132,0.061519333
BaGa2O4,BaGa2O4,21.42857143,3.142857143,13.14285714,48.67714286,2.61,0.920640857,0,10.24035229,27.35979,1.785714286,1.011428571,260.4884571,1069.028857,0.660285714,28.23457143,3.004857143,2.866857143,95.13765714,0.142438514
BaGa2S4,BaGa2S4,26,3.714285714,13.14285714,57.86,2.118571429,1.27264,0,8.378615143,20.62652143,1.945714286,1.24,451.3456,1427.641429,0.540285714,24.41857143,3.308285714,3.728571429,98.90285714,0.143822857
BaGa2Se4,BaGa2Se4,36.28571429,4.285714286,13.14285714,84.65428571,2.101428571,1.24,0,8.031403714,19.39916143,2.002857143,1.32,511.6827429,1565.007143,0.319142857,25.94028571,4.942,5.825714286,108.2285714,0.153942857
BaGa2Te4,BaGa2Te4,46.57142857,4.857142857,13.14285714,112.4485714,1.844285714,1.211885714,0,7.606952286,17.91916143,2.094285714,1.428571429,642.3741714,1738.15,0.251142857,26.15,5.754,12.74,122.12,0.155714286
BaI2,BaI2,54,5.333333333,12,130.3666667,2.07,2.0394,0,8.704728,16.08881,2.213333333,1.593333333,591.2833333,1011.083333,0.210666667,45.64333333,4.463333333,7.84,60.66666667,0.064326667
BaIn2O4,BaIn2O4,26.57142857,3.428571429,13.14285714,61.55714286,2.601428571,0.920640857,0,10.179512,26.88983286,1.802857143,1.065714286,296.7271429,1011.314571,0.620285714,28.43742857,3.406571429,2.201142857,86.64908571,0.259581371
BaIn2S4,BaIn2S4,31.14285714,4,13.14285714,70.74,2.11,1.27264,0,8.317774857,20.15656429,1.962857143,1.294285714,487.5842857,1369.927143,0.500285714,24.62142857,3.71,3.062857143,90.41428571,0.260965714
BaIn2Se4,BaIn2Se4,41.42857143,4.571428571,13.14285714,97.53428571,2.092857143,1.24,0,7.970563429,18.92920429,2.02,1.374285714,547.9214286,1507.292857,0.279142857,26.14314286,5.343714286,5.16,99.74,0.271085714
BaIn2Te4,BaIn2Te4,51.71428571,5.142857143,13.14285714,125.3285714,1.835714286,1.211885714,0,7.546112,17.44920429,2.111428571,1.482857143,678.6128571,1680.435714,0.211142857,26.35285714,6.155714286,12.07428571,113.6314286,0.272857143
BaLa2O4,BaLa2O4,28.85714286,3.714285714,10.28571429,68.44285714,2.407142857,0.977783714,0,10.11966629,24.65803286,1.945714286,1.214285714,514.8414286,1421.886,0.609428571,28.54314286,3.074,3.041142857,136.1405143,0.065009943
BaLa2S4,BaLa2S4,33.42857143,4.285714286,10.28571429,77.62571429,1.915714286,1.329782857,0,8.257929143,17.92476429,2.105714286,1.442857143,705.6985714,1780.498571,0.489428571,24.72714286,3.377428571,3.902857143,139.9057143,0.066394286
BaLa2Se4,BaLa2Se4,43.71428571,4.857142857,10.28571429,104.42,1.898571429,1.297142857,0,7.910717714,16.69740429,2.162857143,1.522857143,766.0357143,1917.864286,0.268285714,26.24885714,5.011142857,6,149.2314286,0.076514286
BaLa2Te4,BaLa2Te4,54,5.428571429,10.28571429,132.2142857,1.641428571,1.269028571,0,7.486266286,15.21740429,2.254285714,1.631428571,896.7271429,2091.007143,0.200285714,26.45857143,5.823142857,12.91428571,163.1228571,0.078285714
BaO,BaO,32,4,9,76.65,2.165,0.73056075,0,9.414857,22.562465,2.1,1.35,527.255,1104.169,0.561,28.724,2.4695,4.111,71.80545,0.0921337
BaS,BaS,36,4.5,9,84.685,1.735,1.03856,0,7.785837,16.670855,2.24,1.55,694.255,1417.955,0.456,25.385,2.735,4.865,75.1,0.093345
BaO4Sc2,BaSc2O4,18.57142857,3.142857143,10.28571429,41.60285714,2.481428571,0.888640857,0,10.40097771,25.15539571,1.865714286,1.114285714,692.27,1242.457429,0.716,28.08885714,2.170857143,5.841142857,109.0633714,0.071581371
BaS4Sc2,BaSc2S4,23.14285714,3.714285714,10.28571429,50.78571429,1.99,1.24064,0,8.539240571,18.42212714,2.025714286,1.342857143,883.1271429,1601.07,0.596,24.27285714,2.474285714,6.702857143,112.8285714,0.072965714
BaSc2Se4,BaSc2Se4,33.42857143,4.285714286,10.28571429,77.58,1.972857143,1.208,0,8.192029143,17.19476714,2.082857143,1.422857143,943.4642857,1738.435714,0.374857143,25.79457143,4.108,8.8,122.1542857,0.083085714
BaSc2Te4,BaSc2Te4,43.71428571,4.857142857,10.28571429,105.3742857,1.715714286,1.179885714,0,7.767577714,15.71476714,2.174285714,1.531428571,1074.155714,1911.578571,0.306857143,26.00428571,4.92,15.71428571,136.0457143,0.084857143
BaSe,BaSe,45,5,9,108.13,1.72,1.01,0,7.482027,15.596915,2.29,1.62,747.05,1538.15,0.2625,26.7165,4.1645,6.7,83.26,0.1022
BaTe,BaTe,54,5.5,9,132.45,1.495,0.9854,0,7.110632,14.301915,2.37,1.715,861.405,1689.65,0.203,26.9,4.875,12.75,95.415,0.10375
BaO4Y2,BaY2O4,23.71428571,3.428571429,10.28571429,54.16,2.441428571,0.922640857,0,10.30263771,24.99089,1.914285714,1.162857143,686.8414286,1387.886,0.638857143,28.37742857,2.595714286,4.526857143,125.7776571,0.075581371
BaS4Y2,BaY2S4,28.28571429,4,10.28571429,63.34285714,1.95,1.27464,0,8.440900571,18.25762143,2.074285714,1.391428571,877.6985714,1746.498571,0.518857143,24.56142857,2.899142857,5.388571429,129.5428571,0.076965714
BaSe4Y2,BaY2Se4,38.57142857,4.571428571,10.28571429,90.13714286,1.932857143,1.242,0,8.093689143,17.03026143,2.131428571,1.471428571,938.0357143,1883.864286,0.297714286,26.08314286,4.532857143,7.485714286,138.8685714,0.087085714
BaTe4Y2,BaY2Te4,48.85714286,5.142857143,10.28571429,117.9314286,1.675714286,1.213885714,0,7.669237714,15.55026143,2.222857143,1.58,1068.727143,2057.007143,0.229714286,26.29285714,5.344857143,14.4,152.76,0.088857143
As2Be3,Be3As2,15.6,2.8,7.2,35.3752,1.814,0.324,0,9.50906,18.362364,1.658,1.074,1372.15,2000.35,1.2266,19.7218,3.3996,15.85,191.16,1.4068
Be3N2,Be3N2,5.2,2,7.2,11.0112,2.158,-0.028,0,11.40726,22.767204,1.538,0.878,961.35,1675.632,1.511,21.5154,1.6092,4.914,179.31712,1.20610392
Be3P2,Be3P2,8.4,2.4,7.2,17.7952,1.818,0.2986,0,9.788296,18.834484,1.638,1.03,1063.01,1866.15,1.4026,19.3954,1.838,5.026,183.16,1.20694
Be3Sb2,Be3Sb2,22.8,3.2,7.2,54.1272,1.762,0.428,0,9.036976,17.578684,1.742,1.154,1297.6012,2388.75,1.1778,19.9578,3.7876,12.65,205.388,1.3032
Al2BeO4,BeAl2O4,8.857142857,2.285714286,13.14285714,18.13885714,2.65,0.960926571,0,10.82377657,28.05037714,1.612857143,0.861428571,520.648,1240.886,1.041571429,26.05071429,1.852,4.319714286,127.4633714,0.964438514
Al2BeS4,BeAl2S4,13.42857143,2.857142857,13.14285714,27.32171429,2.158571429,1.312925714,0,8.962039429,21.31710857,1.772857143,1.09,711.5051429,1599.498571,0.921571429,22.23471429,2.155428571,5.181428571,131.2285714,0.965822857
Al2BeSe4,BeAl2Se4,23.71428571,3.428571429,13.14285714,54.116,2.141428571,1.280285714,0,8.614828,20.08974857,1.83,1.17,771.8422857,1736.864286,0.700428571,23.75642857,3.789142857,7.278571429,140.5542857,0.975942857
Al2BeTe4,BeAl2Te4,34,4,13.14285714,81.91028571,1.884285714,1.252171429,0,8.190376571,18.60974857,1.921428571,1.278571429,902.5337143,1910.007143,0.632428571,23.96614286,4.601142857,14.19285714,154.4457143,0.977714286
BeBr2,BeBr2,24.66666667,3.333333333,12,56.27066667,2.496666667,2.243333333,0,10.98343333,20.46438,1.743333333,1.11,697.35,1135.016667,0.924333333,55.941,2.696,6.516666667,108.8166667,0.670813333
BeCl2,BeCl2,12.66666667,2.666666667,12,26.63733333,2.63,2.411333333,0,11.75265333,21.94611333,1.676666667,0.996666667,634.4833333,1073.123333,0.927666667,28.11366667,2.758666667,4.783333333,105.8,0.670059333
BeF2,BeF2,7.333333333,2,12,15.67066667,3.176666667,2.266,0,14.72276667,29.38424667,1.49,0.73,555.7033333,970.41,1.157666667,26.35033333,1.746666667,2.823333333,101.1798667,0.670186
BeGa2O4,BeGa2O4,14,2.571428571,13.14285714,30.35028571,2.707142857,0.920640857,0,10.82764314,28.53226286,1.621428571,0.858571429,340.4884571,1158.028857,0.891857143,26.57357143,2.767428571,2.859714286,117.5376571,0.403295657
BeGa2S4,BeGa2S4,18.57142857,3.142857143,13.14285714,39.53314286,2.215714286,1.27264,0,8.965906,21.79899429,1.781428571,1.087142857,531.3456,1516.641429,0.771857143,22.75757143,3.070857143,3.721428571,121.3028571,0.40468
BeGa2Se4,BeGa2Se4,28.85714286,3.714285714,13.14285714,66.32742857,2.198571429,1.24,0,8.618694571,20.57163429,1.838571429,1.167142857,591.6827429,1654.007143,0.550714286,24.27928571,4.704571429,5.818571429,130.6285714,0.4148
BeGa2Te4,BeGa2Te4,39.14285714,4.285714286,13.14285714,94.12171429,1.941428571,1.211885714,0,8.194243143,19.09163429,1.93,1.275714286,722.3741714,1827.15,0.482714286,24.489,5.516571429,12.73285714,144.52,0.416571429
BeI2,BeI2,36.66666667,4,12,87.604,2.296666667,2.0394,0,10.07507333,18.82458,1.83,1.236666667,777.95,1218.75,0.751,41.76766667,3.909333333,7.823333333,112.9333333,0.672993333
BeIn2O4,BeIn2O4,19.14285714,2.857142857,13.14285714,43.23028571,2.698571429,0.920640857,0,10.76680286,28.06230571,1.638571429,0.912857143,376.7271429,1100.314571,0.851857143,26.77642857,3.169142857,2.194,109.0490857,0.520438514
